,Article Title,Abstract,Topics
0,Modelling point rainfall occurrences with the Modified Bartlett-Lewis Rectangular Pulses Model,"A six parameter stochastic point process model, known as the modified Bartlett-Lewis Rectangular Pulses Model, is applied to fairly long hourly rainfall data recorded at Valentia (relatively a wet location) and Shannon Airport (relatively a dry location), Ireland. Five different sets of statistics of the rainfall data of each month, assuming local stationarity within the month, are used to estimate the parameters and to simulate model output. The problems of parameter stability/sensitivity and identification are discussed and it has been shown that the sensitivity of the model parameters to the choice of six statistics can be avoided by estimating the six parameters by optimization from 16 statistics namely mean, variance, lag-1 autocorrelation coefficient and proportion dry of hourly, 6-hourly, 12-hourly, and 24-hourly rainfalls. Some useful properties of the rainfall depth process are analysed using the notion of event-based statistics. The conditional distributions of rainfall depth and maximum intensity, mean event profiles, and various other features of the rainfall depth process obtained from the model simulated samples compare favourably with the historical ones.",The rainstorms and thunderstorms.
1,MODELING CATCHMENT EVAPORATION - AN OBJECTIVE COMPARISON OF THE PENMAN AND MORTON APPROACHES,"Water-balance data from the Shannon catchment are used to calibrate two simple models of catchment-scale evaporation. The first uses the more traditional approach: evaporation is taken as Penman potential evaporation (PE), unless water is not freely available, in which case the reduction of actual evaporation (AE) from PE is calculated using a simple Thornthwaite-style soil-moisture model. The second model makes use of the relatively recent work by Bouchet and Morton which suggests, inter alia, that AE and PE are inversely related in the absence of an abundant supply of moisture. The resulting objective criteria of efficiency for the final models are similar, but other results from the model calibration process indicate some of the relative strengths and weaknesses of the two models. In particular, it is shown that the Bouchet-Morton approach provides a valuable alternative to the empiricism of the Thornthwaite-style reduction of AE from PE, but that this is achieved at a high cost: the introduction of a strong degree of empiricism into the process of advection modelling.",Environmental stewardship and respect
2,"Sub-recent changes in annual average water level in the Shannon estuary, western Ireland","This paper describes results to date on work to reconstruct the pattern of sub-recent water level changes within the Shannon Estuary, western Ireland. The main database for the study covers the period 1949 to 2002, and includes observed tide gauge data and hydrological data. Routine statistical analyses are used to plot the relative position of the water surface through time, and to assess the relative significance of the components of an averaged water level curve that has been developed for Limerick City Dock at the head of the estuary. The findings form part of a larger project that aims to develop a time series of Mean Water Levels, Mean High Water Levels, Mean Low Water Levels and Mean Tidal Range in the context of human modification of the estuary since the mid-19(th) C, including land reclamation and environmental responses to predicted sea level changes. The newly assembled data presented indicate that average water levels have changed significantly between 1949 and 2002, including a clear overall rise in water surface elevation within the study period and particularly within the last decade. This paper quantifies the degree and rate of change evident from the averaged water level curve and explores the possible causes of the trend.",Water level change and land reclamation
3,Hybrid Data-Driven Models for Hydrological Simulation and Projection on the Catchment Scale,"Changes in streamflow within catchments can have a significant impact on agricultural production, as soil moisture loss, as well as frequent drying and wetting, may have an effect on the nutrient availability of many soils. In order to predict future changes and explore the impact of different scenarios, machine learning techniques have been used recently in the hydrological sector for simulation streamflow. This paper compares the use of four different models, namely artificial neural networks (ANNs), support vector machine regression (SVR), wavelet-ANN, and wavelet-SVR as surrogate models for a geophysical hydrological model to simulate the long-term daily water level and water flow in the River Shannon hydrological system in Ireland. The performance of the models has been tested for multi-lag values and for forecasting both short- and long-term time scales. For simulating the water flow of the catchment hydrological system, the SVR-based surrogate model performs best overall. Regarding modeling the water level on the catchment scale, the hybrid model wavelet-ANN performs the best among all the constructed models. It is shown that the data-driven methods are useful for exploring hydrological changes in a large multi-station catchment, with low computational cost.","Water, sediment, and flood"
4,GEO-CWB: GIS-Based Algorithms for Parametrising the Responses of Catchment Dynamic Water Balance Regarding Climate and Land Use Changes,"Parametrising the spatially distributed dynamic catchment water balance is a critical factor in studying the hydrological system responses to climate and land use changes. This study presents the development of a geographic information system (GIS)-based set of algorithms (geographical spatially distributed water balance model (GEO-CWB)), which is developed from integrating physical, statistical, and machine learning models. The GEO-CWB tool has been developed to simulate and predict future spatially distributed dynamic water balance using GIS environment at the catchment scale in response to the future changes in climate variables and land use through a user-friendly interface. The tool helps in bridging the gap in quantifying the high-resolution dynamic water balance components for the large catchments by reducing the computational costs. Also, this paper presents the application and validation of GEO-CWB on the Shannon catchment in Ireland as an example of a large and complicated hydrological system. It can be concluded that climate and land use changes have significant effects on the spatial and temporal patterns of the different water balance components of the catchment.",Climate and land use changes
5,The geochemistry of Irish rivers,"Study region: Ireland Study focus: Multiple studies have established that catchment geology and weathering regime strongly influence surface water chemistry, and that geochemical cycling can vary due to seasonal climatic conditions. However, fewer studies have focused on the influence these controls in a holistic manner. We relate the water chemistry of a country-wide Irish river survey to atmospheric input, underlying geology, and the influence of bogs. Climatic conditions were defined by an atypically wet winter and an unusually dry summer, providing the opportunity to investigate river chemistry variation across hydrologic conditions. Sampling included 21 of Ireland's 22 largest rivers ranked by discharge, first-order and second-order streams draining bog lands, a second-order stream draining a limestone catchment, and downstream transects along the River Shannon. All samples were analyzed for major elements, selected trace elements, and nutrients, and a subset was analyzed for delta S-34(SO4). New hydrological insights: Most catchments were dominated by carbonate weathering with little contribution from the weathering of aluminosilicates. River water composition also varied geographically along the prevailing wind direction due to inputs from marine aerosols, with additional weathering components important in some systems. Seasonal influences could be seen in the chemistry of the headwaters of the River Shannon, while the lower reaches of the river exhibited less variable behavior throughout seasonal changes, likely due to the influence of lakes in the River Shannon system.",Water chemistry and weathering
6,"Source of the River Shannon, Ireland","The Shannon is the longest river in the British Isles (280 km) and drains an area of about 15,530 km(2). The source of the river is Shannon Pot, a karst rising in County Cavan, which is one of the most famous springs in Ireland. Water tracer experiments have shown that the rising drains an immediate area of about 12.8 km(2) on the slopes of Cuilcagh Mountain, of which about 60% is underlain by limestone. However, two sinks 10-11 km east of the rising and ca. 200 m higher have also been shown to be hydrologically connected during high flow conditions. This suggests that Shannon Pot may once have had a substantially larger catchment area.","Water, sediment, and flood"
7,Dealing with Multisource Information for Estuarine Flood Risk Appraisal in Two Western European Coastal Areas,"Estuaries are usually affected by compound flooding triggers that cause diverse territorial damages. While fluvial flood risk assessment frameworks are well established in the literature, integrated management instruments that deal with estuarine flood risk remain incomplete and often lacking. This research presents a methodology to extract relevant information from multiple sources post-event and a database building process that is applied to two contrasting estuaries (the Tagus River estuary in Portugal, and the Shannon River estuary in Ireland) in the Western European coastal area. Overall, a total of 274 documents were analyzed and the information was stored in two databases. Multiple correspondence analysis was applied to extract the most informative and relevant estuarine flood indicators. An integrated estuarine flood risk assessment framework is presented and discussed based on the extracted indicators. The framework is driven by two distinct dimensions (oceanic and hydrographic) and revealed the transversal position of triggers of estuarine floods, reflecting the compounding effects usually present in these areas. The results also highlight two levels of flood risk mostly based on damage typology.",Conventional flooding and flood risk assessment frameworks
8,Biodiversity analyses for risk assessment of genetically modified potato,"An environmental risk assessment for the introduction of genetically modified crops includes assessing the consequences for biodiversity. In this study arthropod biodiversity was measured using pitfall traps in potato agro-ecosystems in Ireland and The Netherlands over two years. We tested the impact of site, year, potato genotype, and fungicide management regime on arthropod community composition. Three potato genotypes were compared: the cultivar Desiree, susceptible to the late blight pathogen Phytoplithora infestans, a genetically modified cisgenic clone of Desiree resistant to P. infestans and the cultivar Sarpo Mira, also resistant to late blight. We aimed to test several ways to measure biodiversity in the context of risk assessment by using both univariate biodiversity indices and multivariate ordination methods, categorizing the pitfall trap catch by taxonomic or functional category. The Shannon-Wiener and Simpson biodiversity indices both showed strong differences between sites, years and potato genotypes, but showed no effects of the fungicide management regime. The effect of genotype was due to cultivar differences between Desiree and Sarpo Mira rather than between the GM-event (A15-31) and its isogenic comparator Desiree. Multivariate permutation analyses and RDA ordination confirmed these findings and also showed interactions between year, site and either genotype or treatment. The added value of the multivariate analysis was that it provided information on the specific arthropod groups or taxa that contributed to community structure. Multivariate analyses are recommended for use as a sensitive method to compare functionally important arthropod groups driving community structure within the framework of environmental risk assessments, or for the process of indicator species selection.",Conservation and fairness
9,Disentangling the effects of land use and geo-climatic factors on diversity in European freshwater ecosystems,"Land use effects are considered among the main stressors on freshwater biodiversity, with up to 80% of land in Europe under intensive use. Here, we address the impact of arable and urban landscapes on taxon richness, Shannon Wiener diversity, taxon rareness and taxonomic distinctness of eleven organism groups encompassing vertebrates, invertebrates and plants, occurring in five freshwater ecosystem types across Europe: rivers, floodplains, lakes, ponds and groundwater. In addition, nine geo-climatic descriptors (e.g. latitude, longitude, precipitation) were used to disentangle land use effects from those of natural drivers of biodiversity. Using a variance partitioning scheme based on boosted regression trees and generalised linear regression modelling, we sought: (i) to partition the unique, shared and unexplained variation in the metrics explained by both groups of descriptor variables, (ii) to quantify the contribution of each descriptor variable to biodiversity variation in the most parsimonious regression model and (iii) to identify interactions of land use and natural descriptors. The variation in biodiversity uniquely described by land use was consistently low across both ecosystem types and organism groups. In contrast, geo-climatic descriptors uniquely, and jointly with land use, explained significantly more variance in all 39 biodiversity metrics tested. Regression models revealed significant interactions between geo-climatic descriptors and land use for a third of the models, with interactions accounting for up to 17% of the model's deviance. However, no consistent patterns were observed related to the type of biodiversity metric and organism group considered. Subdividing data according to the strongest geo-climatic gradient in each dataset aimed to reduce the strength of natural descriptors relative to land use. Although data sub-setting can highlight land use effects on freshwater biodiversity, sub-setting our data often failed to produce stronger land use effects. There was no increase in spatial congruence in the subsets, suggesting that the observed land use effects were not dependent on the spatial extent of the subsets. Our results confirm significant joint effects of, and interactions between, land use and natural environmental descriptors on freshwater biodiversity, across ecosystem types and organism groups. This has implications for biodiversity monitoring. First, the combined analysis of anthropogenic and natural descriptors is a prerequisite for the analysis of human threats to biodiversity. Second, geo-climatically, but not necessarily geographically more homogeneous datasets can help unmask the role of anthropogenic descriptors. And third, whole community-based biodiversity metrics (including taxon richness) are not ideal indicators of anthropogenic effects on biodiversity at broad scales. (C) 2015 Elsevier Ltd. All rights reserved.",Land use and biodiversity
